BATSMEN,,R,B,4s,6s,SR
PA Patel †,c & b Jadeja,53,41,5,2,129.26
BB McCullum,c Thakur b Ngidi,5,3,1,0,166.66
V Kohli (c), b Jadeja,8,11,1,0,72.72
AB de Villiers,st †Dhoni b Harbhajan Singh,1,4,0,0,25.00
Mandeep Singh,c Willey b Jadeja,7,13,0,0,53.84
C de Grandhomme,c Raina b Willey,8,8,1,0,100.00
M Ashwin,st †Dhoni b Harbhajan Singh,1,2,0,0,50.00
TG Southee,not out,36,26,3,1,138.46
UT Yadav,run out (Willey),1,5,0,0,20.00
Mohammed Siraj,run out (Rayudu/†Dhoni),3,7,0,0,42.85

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
DJ Willey,4,0,24,1,6.00,12,2,1,0,0
L Ngidi,4,0,24,1,6.00,15,3,1,1,0
SN Thakur,2,0,19,0,9.50,5,2,1,0,0
RA Jadeja,4,0,18,3,4.50,8,0,0,0,0
Harbhajan Singh,4,0,22,2,5.50,11,3,0,0,0
DJ Bravo,2,0,17,0,8.50,3,1,0,0,0

BATSMEN,,R,B,4s,6s,SR
SR Watson, b Yadav,11,14,2,0,78.57
AT Rayudu,c Mohammed Siraj b Ashwin,32,25,3,2,128.00
SK Raina,c Southee b Yadav,25,21,2,1,119.04
DR Shorey,c Mandeep Singh b de Grandhomme,8,9,0,1,88.88
MS Dhoni (c) †,not out,31,23,1,3,134.78
DJ Bravo,not out,14,17,0,1,82.35

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
TG Southee,3,0,30,0,10.00,6,4,1,0,0
YS Chahal,3,1,29,0,9.66,9,1,3,1,1
UT Yadav,3,0,15,2,5.00,13,1,1,0,0
Mohammed Siraj,2,0,18,0,9.00,5,0,2,0,0
C de Grandhomme,4,0,16,1,4.00,11,1,0,0,0
M Ashwin,3,0,17,1,5.66,12,1,1,2,0

