BATSMEN,,R,B,4s,6s,SR
PP Shaw,c & b Gopal,47,25,4,4,188.00
C Munro,c †Buttler b Kulkarni,0,1,0,0,0.00
SS Iyer (c),c Tripathi b Unadkat,50,35,3,3,142.85
RR Pant †,c Stokes b Unadkat,69,29,7,5,237.93
GJ Maxwell,lbw b Archer,5,5,0,0,100.00
V Shankar,c Tripathi b Unadkat,17,6,2,1,283.33
LE Plunkett,not out,1,2,0,0,50.00

Bowling,O,M,R,W,Econ,WD,NB
DS Kulkarni,3,0,37,1,12.33,3,0
JC Archer,3.1,0,31,1,9.78,1,0
K Gowtham,2,0,27,0,13.50,0,0
JD Unadkat,4,0,46,3,11.50,0,0
S Gopal,2,0,26,1,13.00,0,0
BA Stokes,3,0,28,0,9.33,2,0

BATSMEN,,R,B,4s,6s,SR
DJM Short,c Avesh Khan b Maxwell,44,25,2,4,176.00
JC Buttler †,st †Pant b Mishra,67,26,4,7,257.69
SV Samson,c Munro b Boult,3,5,0,0,60.00
BA Stokes,c Shankar b Boult,1,2,0,0,50.00
RA Tripathi,run out (†Pant/Boult),9,8,1,0,112.50
K Gowtham,not out,18,6,2,1,300.00
JC Archer,not out,0,0,0,0,-

Bowling,O,M,R,W,Econ,WD,NB
S Nadeem,1,0,13,0,13.00,0,0
TA Boult,3,0,26,2,8.66,3,0
Avesh Khan,2,0,36,0,18.00,0,0
LE Plunkett,3,0,37,0,12.33,0,0
A Mishra,2,0,12,1,6.00,0,0
GJ Maxwell,1,0,21,1,21.00,0,0

