BATSMEN,,R,B,4s,6s,SR
M Vohra,lbw b Markande,45,31,2,4,145.16
Q de Kock †,c Sharma b McClenaghan,7,13,1,0,53.84
BB McCullum,run out (Pandya),37,25,4,2,148.00
V Kohli (c),c Pollard b HH Pandya,32,26,2,1,123.07
Mandeep Singh,c Yadav b HH Pandya,14,10,1,1,140.00
C de Grandhomme,not out,23,10,0,3,230.00
Washington Sundar,c Sharma b HH Pandya,1,3,0,0,33.33
TG Southee,c Cutting b Bumrah,1,2,0,0,50.00
UT Yadav,not out,1,2,0,0,50.00

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
JP Duminy,2,0,28,0,14.00,5,2,3,0,0
MJ McClenaghan,4,0,34,1,8.50,13,1,3,1,1
JJ Bumrah,4,0,22,1,5.50,9,0,1,0,0
KH Pandya,4,0,24,0,6.00,11,1,1,0,0
M Markande,3,0,28,1,9.33,7,4,1,0,0
HH Pandya,3,0,28,3,9.33,8,2,2,0,1

BATSMEN,,R,B,4s,6s,SR
SA Yadav,lbw b Yadav,9,9,2,0,100.00
Ishan Kishan †, b Southee,0,1,0,0,0.00
JP Duminy,run out (Yadav/†de Kock),23,29,3,0,79.31
RG Sharma (c),c †de Kock b Yadav,0,1,0,0,0.00
KA Pollard,c †de Kock b Mohammed Siraj,13,13,1,0,100.00
HH Pandya,c Kohli b Southee,50,42,5,1,119.04
KH Pandya,c Mandeep Singh b Mohammed Siraj,23,19,1,1,121.05
BCJ Cutting,not out,12,6,1,1,200.00
MJ McClenaghan,not out,0,0,0,0,-

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
TG Southee,4,0,25,2,6.25,14,3,1,1,0
UT Yadav,4,0,29,2,7.25,11,3,0,2,0
Mohammed Siraj,4,0,28,2,7.00,7,2,0,3,0
YS Chahal,4,0,23,0,5.75,14,2,0,3,0
Washington Sundar,1,0,15,0,15.00,0,1,1,0,0
C de Grandhomme,3,0,28,0,9.33,7,2,1,1,0

