Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
MM Ali,3,0,19,0,6.33,6,2,0,0,0
UT Yadav,4,0,36,1,9.00,8,4,1,2,0
TG Southee,4,0,30,3,7.50,8,4,0,1,0
Mohammed Siraj,4,0,25,3,6.25,12,2,1,1,0
YS Chahal,4,0,25,1,6.25,9,1,1,0,1
C de Grandhomme,1,0,8,0,8.00,2,1,0,1,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
Sandeep Sharma,4,0,20,1,5.00,10,1,0,1,0
B Kumar,4,0,27,1,6.75,10,4,0,0,0
Shakib Al Hasan,4,0,36,2,9.00,7,4,1,0,0
S Kaul,4,0,25,1,6.25,6,2,0,0,0
Rashid Khan,4,0,31,1,7.75,12,2,2,2,0

