Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
DL Chahar,4,0,16,1,4.00,14,1,0,3,0
SN Thakur,4,0,32,2,8.00,10,3,1,3,0
DJ Willey,2,0,24,0,12.00,3,5,0,0,0
Harbhajan Singh,2,0,26,0,13.00,0,1,2,1,0
SR Watson,2,0,15,0,7.50,6,1,1,1,0
DJ Bravo,4,0,39,1,9.75,6,5,0,2,0
RA Jadeja,2,0,24,0,12.00,2,1,2,0,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
Sandeep Sharma,4,0,36,1,9.00,8,2,2,1,0
B Kumar,4,0,38,0,9.50,8,2,3,0,0
Rashid Khan,4,0,25,0,6.25,10,2,1,0,0
Shakib Al Hasan,4,0,41,0,10.25,5,4,2,0,0
S Kaul,3,0,40,0,13.33,3,3,3,0,0

