Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
DL Chahar,4,0,25,0,6.25,10,1,1,1,1
L Ngidi,4,1,26,1,6.50,11,1,2,0,0
SN Thakur,3,0,31,1,10.33,4,1,2,2,0
KV Sharma,3,0,25,1,8.33,7,2,1,1,0
DJ Bravo,4,0,46,1,11.50,5,5,2,2,0
RA Jadeja,2,0,24,1,12.00,2,3,1,0,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
B Kumar,4,1,17,0,4.25,16,0,1,0,0
Sandeep Sharma,4,0,52,1,13.00,9,5,4,2,0
S Kaul,3,0,43,0,14.33,2,5,2,0,0
Rashid Khan,4,1,24,0,6.00,9,3,0,0,0
Shakib Al Hasan,1,0,15,0,15.00,1,0,2,0,0
CR Brathwaite,2.3,0,27,1,10.80,3,3,1,1,0

