BATSMEN,,R,B,4s,6s,SR
AM Rahane (c),c Nath b Tye,9,10,1,0,90.00
JC Buttler †,st †Rahul b Mujeeb Ur Rahman,82,58,9,1,141.37
K Gowtham,c Tiwary b Stoinis,8,6,0,1,133.33
SV Samson,c Tiwary b Mujeeb Ur Rahman,22,18,1,1,122.22
BA Stokes,c Ashwin b Tye,14,11,1,0,127.27
STR Binny,run out (Nair/Tye),11,7,0,1,157.14
MK Lomror,not out,9,9,1,0,100.00
JC Archer,c Tiwary b Tye,0,1,0,0,0.00
JD Unadkat,c Nair b Tye,0,1,0,0,0.00

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
MP Stoinis,2,0,15,1,7.50,4,2,0,0,0
AR Patel,3,0,24,0,8.00,7,2,1,0,0
MM Sharma,3,0,29,0,9.66,7,3,1,1,1
AJ Tye,4,0,34,4,8.50,7,3,1,0,0
R Ashwin,4,0,34,0,8.50,4,2,1,0,0
Mujeeb Ur Rahman,4,0,21,2,5.25,8,1,0,0,0

BATSMEN,,R,B,4s,6s,SR
KL Rahul †,not out,95,70,11,2,135.71
CH Gayle,st †Buttler b Gowtham,1,1,0,0,100.00
R Ashwin (c), b Gowtham,0,2,0,0,0.00
KK Nair,c Unadkat b Archer,3,5,0,0,60.00
AD Nath,c Gowtham b Sodhi,9,13,1,0,69.23
MK Tiwary,c Rahane b Stokes,7,8,0,0,87.50
AR Patel,run out (Binny/†Buttler),9,5,1,0,180.00
MP Stoinis,c Gowtham b Unadkat,11,16,0,0,68.75
AJ Tye,not out,1,1,0,0,100.00

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
K Gowtham,3,0,12,2,4.00,10,1,0,1,0
JC Archer,4,0,32,1,8.00,8,3,1,0,0
JD Unadkat,4,0,36,1,9.00,6,3,1,0,1
BA Stokes,2,0,13,1,6.50,6,2,0,0,0
IS Sodhi,4,0,14,1,3.50,12,0,0,0,0
MK Lomror,2,0,19,0,9.50,1,2,0,0,0
Anureet Singh,1,0,12,0,12.00,1,2,0,0,0

