BATSMEN,,R,B,4s,6s,SR
C Munro,lbw b Mujeeb Ur Rahman,4,6,0,0,66.66
G Gambhir (c),run out (Mujeeb Ur Rahman),55,42,5,1,130.95
SS Iyer,c †Rahul b Patel,11,11,0,1,100.00
V Shankar,c Patel b Sharma,13,13,0,0,100.00
RR Pant †,c Tye b Mujeeb Ur Rahman,28,13,4,1,215.38
R Tewatia,lbw b Ashwin,9,7,1,0,128.57
CH Morris,not out,27,16,1,1,168.75
DT Christian, b Sharma,13,13,0,1,100.00

Bowling,O,M,R,W,Econ,WD,NB
R Ashwin,4,0,23,1,5.75,1,0
MM Sharma,4,0,33,2,8.25,0,0
Mujeeb Ur Rahman,4,0,28,2,7.00,1,0
AR Patel,3,0,35,1,11.66,0,0
AJ Tye,4,0,38,0,9.50,1,1
MP Stoinis,1,0,7,0,7.00,0,0

BATSMEN,,R,B,4s,6s,SR
KL Rahul †,c Mohammed Shami b Boult,51,16,6,4,318.75
MA Agarwal,c Mohammed Shami b Morris,7,5,0,1,140.00
Yuvraj Singh,c Shankar b Tewatia,12,22,2,0,54.54
KK Nair,c Boult b Christian,50,33,5,2,151.51
DA Miller,not out,24,23,1,0,104.34
MP Stoinis,not out,22,15,2,0,146.66

Bowling,O,M,R,W,Econ,WD,NB
TA Boult,3.5,0,34,1,8.86,0,1
Mohammed Shami,2,0,26,0,13.00,0,0
A Mishra,4,0,46,0,11.50,0,0
CH Morris,3,0,25,1,8.33,0,0
DT Christian,2,0,12,1,6.00,0,0
R Tewatia,4,0,24,1,6.00,0,0

