BATSMEN,,R,B,4s,6s,SR
JC Buttler †,c †Rahul b Mujeeb Ur Rahman,51,39,7,0,130.76
DJM Short,c Tye b Ashwin,2,2,0,0,100.00
AM Rahane (c),c Gayle b Patel,5,7,0,0,71.42
SV Samson,c Nair b Tye,28,23,2,1,121.73
BA Stokes,c Tiwary b Mujeeb Ur Rahman,12,9,2,0,133.33
RA Tripathi,c Ashwin b Tye,11,13,1,0,84.61
JC Archer, b Mujeeb Ur Rahman,0,1,0,0,0.00
K Gowtham,c Stoinis b Rajpoot,5,3,1,0,166.66
S Gopal,run out (†Rahul),24,16,3,0,150.00
JD Unadkat,not out,6,7,0,0,85.71

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
R Ashwin,4,0,30,1,7.50,10,3,1,0,0
AS Rajpoot,3,0,37,1,12.33,4,7,0,0,0
Mujeeb Ur Rahman,4,0,27,3,6.75,8,3,0,1,0
AR Patel,4,0,21,1,5.25,7,1,0,0,0
AJ Tye,4,0,24,2,6.00,7,2,0,0,0
MP Stoinis,1,0,6,0,6.00,1,0,0,0,0

BATSMEN,,R,B,4s,6s,SR
KL Rahul †,not out,84,54,7,3,155.55
CH Gayle,c Samson b Archer,8,11,2,0,72.72
MA Agarwal,c Tripathi b Stokes,2,3,0,0,66.66
KK Nair, b Anureet Singh,31,23,2,2,134.78
AR Patel,c Short b Gowtham,4,5,0,0,80.00
MP Stoinis,not out,23,16,2,1,143.75

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
K Gowtham,3,0,18,1,6.00,11,3,0,1,0
JC Archer,3.4,0,43,1,11.72,7,4,2,1,0
BA Stokes,3,0,22,1,7.33,4,2,0,0,0
JD Unadkat,4,0,26,0,6.50,12,2,1,1,0
S Gopal,3,0,26,0,8.66,5,1,2,0,0
Anureet Singh,2,0,20,1,10.00,3,1,1,0,0

