BATSMEN,,R,B,4s,6s,SR
S Dhawan,lbw b Prasidh Krishna,50,39,5,1,128.20
SP Goswami †,c Russell b Kuldeep Yadav,35,26,4,1,134.61
KS Williamson (c),c Russell b Scantlebury-Searles,36,17,1,3,211.76
MK Pandey,c sub (RK Singh) b Prasidh Krishna,25,22,2,1,113.63
YK Pathan,c Uthappa b Narine,2,4,0,0,50.00
CR Brathwaite,c †Karthik b Russell,3,4,0,0,75.00
Shakib Al Hasan,c Narine b Prasidh Krishna,10,7,2,0,142.85
Rashid Khan,c †Karthik b Prasidh Krishna,0,1,0,0,0.00
B Kumar,run out (†Karthik),0,1,0,0,0.00
S Kaul,not out,0,0,0,0,-

Bowling,O,M,R,W,Econ,WD,NB
N Rana,1,0,5,0,5.00,0,0
M Prasidh Krishna,4,0,30,4,7.50,2,0
AD Russell,3,0,31,1,10.33,1,1
SP Narine,4,0,23,1,5.75,2,0
PP Chawla,2,0,19,0,9.50,0,0
Kuldeep Yadav,4,0,35,1,8.75,0,0
JPR Scantlebury-Searles,2,0,24,1,12.00,0,0

BATSMEN,,R,B,4s,6s,SR
CA Lynn,c Pandey b Kaul,55,43,4,3,127.90
SP Narine,c Pandey b Shakib Al Hasan,29,10,4,2,290.00
RV Uthappa,c †Goswami b Brathwaite,45,34,3,2,132.35
KD Karthik (c) †,not out,26,22,1,1,118.18
AD Russell,c Pandey b Kaul,4,4,1,0,100.00
N Rana,c Kumar b Brathwaite,7,5,1,0,140.00
Shubman Gill,not out,0,0,0,0,-

Bowling,O,M,R,W,Econ,WD,NB
B Kumar,4,0,33,0,8.25,1,0
Sandeep Sharma,2,0,30,0,15.00,2,0
S Kaul,4,0,26,2,6.50,1,0
Shakib Al Hasan,3,0,30,1,10.00,0,0
Rashid Khan,4,0,31,0,7.75,0,0
CR Brathwaite,2.4,0,21,2,7.87,1,0

